"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"CPB","Campbell Soup","Common stocks","Large cap","Consumer Staples","$15,134,801,515","2.90%","USA","Analyze"
"APA","Apache Corp","Common stocks","Large cap","Energy","$15,091,763,939","1.32%","USA","Analyze"
"HWM","Howmet Aerospace Inc.","Common stocks","Large cap","Industrials","$15,088,077,989","0.27%","USA","Analyze"
"PLTR","Palantir Technologies Inc.","Common stocks","Large cap","Information Technology","$15,082,482,728","0.00%","USA","Analyze"
"AVY","Avery Dennison Corp","Common stocks","Large cap","Materials","$15,048,091,252","1.54%","USA","Analyze"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$15,041,774,344","2.43%","USA","Analyze"
"COO","Cooper Companies, Inc.","Common stocks","Large cap","Health Care","$14,951,833,455","0.02%","USA","Analyze"
"IRM","Iron Mountain Incorporated","REITs","Large cap","Real Estate","$14,919,444,379","4.74%","USA","Analyze"
"BG","Bunge Ltd","Common stocks","Large cap","Consumer Staples","$14,903,618,217","2.29%","USA","Analyze"
"RKT","Rocket Companies, Inc. Class A","Common stocks","Large cap","Financials","$14,850,537,045","0.00%","USA","Analyze"
"RCL","Royal Caribbean Cruises Ltd","Common stocks","Large cap","Consumer Discretionary","$14,752,072,287","0.00%","USA","Analyze"
"FICO","Fair Isaac Corp","Common stocks","Large cap","Information Technology","$14,653,444,837","0.00%","USA","Analyze"
"EXPE","Expedia Inc","Common stocks","Large cap","Consumer Discretionary","$14,644,187,658","0.00%","USA","Analyze"
"GEN","Gen Digital Inc.","Common stocks","Large cap","Information Technology","$14,623,029,328","2.21%","USA","Analyze"
"PTC","PTC Inc","Common stocks","Large cap","Information Technology","$14,551,252,800","0.00%","USA","Analyze"
"TXT","Textron Inc","Common stocks","Large cap","Industrials","$14,486,652,442","0.12%","USA","Analyze"
"TER","Teradyne Inc","Common stocks","Large cap","Information Technology","$14,409,001,066","0.46%","USA","Analyze"
"PINS","Pinterest, Inc. Class A","Common stocks","Large cap","Communication Services","$14,406,746,916","0.00%","USA","Analyze"
